Date,Price,,,,,
1/2/2018,45.79,,,,,
1/3/2018,46.3,,,,,
1/4/2018,47.25,,,,,
1/5/2018,48.7,,,,,
1/8/2018,49,,,,,
1/9/2018,49.55,,,,,
1/10/2018,49.78,,,,,
1/11/2018,50.28,,,,,
1/12/2018,50.03,,,,,
1/16/2018,48.95,,,,,
1/17/2018,49.82,,,,,
1/18/2018,49.17,,,,,
1/19/2018,49.89,,,,,
1/22/2018,50.8,,,,,
1/23/2018,50.42,,,,,
1/24/2018,49.15,,,,,
1/25/2018,48.4,,,,,
1/26/2018,49.48,,,,,
1/29/2018,47.87,,,,,
1/30/2018,47.35,,,,,
1/31/2018,47.94,,,,,
2/1/2018,49.15,,,,,
2/2/2018,51.99,,,,,
2/5/2018,49,,,,,
2/6/2018,50.77,,,,,
2/7/2018,50.12,,,,,
2/8/2018,46.96,,,,,
2/9/2018,47.05,,,,,
2/12/2018,48.27,,,,,
2/13/2018,47.22,,,,,
2/14/2018,48.59,,,,,
2/15/2018,48.81,,,,,
2/16/2018,49.55,,,,,
2/20/2018,49.41,,,,,
2/21/2018,49.5,,,,,
2/22/2018,49.85,,,,,
2/23/2018,50.23,,,,,
2/26/2018,50.92,,,,,
2/27/2018,50.27,,,,,
2/28/2018,50.46,,,,,
3/1/2018,48.72,,,,,
3/2/2018,49.68,,,,,
3/5/2018,50.53,,,,,
3/6/2018,50.16,,,,,
3/7/2018,50.89,,,,,
3/8/2018,51.28,,,,,
3/9/2018,51.4,,,,,
3/12/2018,50.01,,,,,
3/13/2018,50.07,,,,,
3/14/2018,50.95,,,,,
3/15/2018,51.34,,,,,
3/16/2018,50.64,,,,,
3/19/2018,48.34,,,,,
3/20/2018,48.83,,,,,
3/21/2018,48.69,,,,,
3/22/2018,48.13,,,,,
3/23/2018,47.89,,,,,
3/26/2018,48.67,,,,,
3/27/2018,47.87,,,,,
3/28/2018,48.08,,,,,
3/29/2018,48.34,,,,,
4/2/2018,47.99,,,,,
4/3/2018,48.84,,,,,
4/4/2018,48.97,,,,,
4/5/2018,49.15,,,,,
4/6/2018,48.44,,,,,
4/9/2018,48.57,,,,,
4/10/2018,49.75,,,,,
4/11/2018,49.35,,,,,
4/12/2018,49.14,,,,,
4/13/2018,48.89,,,,,
4/16/2018,49.35,,,,,
4/17/2018,49.77,,,,,
4/18/2018,50.46,,,,,
4/19/2018,49.73,,,,,
4/20/2018,49.76,,,,,
4/23/2018,49.41,,,,,
4/24/2018,49.39,,,,,
4/25/2018,49.58,,,,,
4/26/2018,50.18,,,,,
4/27/2018,45.5,,,,,
4/30/2018,45.83,,,,,
5/1/2018,46.35,,,,,
5/2/2018,46.66,,,,,
5/3/2018,47.1,,,,,
5/4/2018,47.57,,,,,
5/7/2018,47.44,,,,,
5/8/2018,47.39,,,,,
5/9/2018,47.31,,,,,
5/10/2018,46.88,,,,,
5/11/2018,48.08,,,,,
5/14/2018,48.34,,,,,
5/15/2018,47.51,,,,,
5/16/2018,47.82,,,,,
5/17/2018,48.8,,,,,
5/18/2018,48.6,,,,,
5/21/2018,48.39,,,,,
5/22/2018,47.06,,,,,
5/23/2018,46.47,,,,,
5/24/2018,46.46,,,,,
5/25/2018,46.4,,,,,
5/29/2018,46.6,,,,,
5/30/2018,47.21,,,,,
5/31/2018,47.09,,,,,
6/1/2018,47.67,,,,,
6/4/2018,49.08,,,,,
6/5/2018,49.31,,,,,
6/6/2018,50.18,,,,,
6/7/2018,49.88,,,,,
6/8/2018,49.96,,,,,
6/11/2018,50.5,,,,,
6/12/2018,49.85,,,,,
6/13/2018,49.82,,,,,
6/14/2018,49.13,,,,,
6/15/2018,49.12,,,,,
6/18/2018,48.37,,,,,
6/19/2018,48.24,,,,,
6/20/2018,49.56,,,,,
6/21/2018,49.22,,,,,
6/22/2018,50.37,,,,,
6/25/2018,49.53,,,,,
6/26/2018,50,,,,,
6/27/2018,50.29,,,,,
6/28/2018,51.7,,,,,
6/29/2018,51.26,,,,,
7/2/2018,50.94,,,,,
7/3/2018,50.97,,,,,
7/5/2018,49.06,,,,,
7/6/2018,49.58,,,,,
7/9/2018,51.61,,,,,
7/10/2018,51.68,,,,,
7/11/2018,51.96,,,,,
7/12/2018,52.21,,,,,
7/13/2018,53.31,,,,,
7/16/2018,53.27,,,,,
7/17/2018,53.63,,,,,
7/18/2018,53.07,,,,,
7/19/2018,52.63,,,,,
7/20/2018,52.95,,,,,
7/23/2018,53.15,,,,,
7/24/2018,52.67,,,,,
7/25/2018,53.66,,,,,
7/26/2018,53.66,,,,,
7/27/2018,53.4,,,,,
7/30/2018,52.34,,,,,
7/31/2018,54.02,,,,,
8/1/2018,55,,,,,
8/2/2018,55.28,,,,,
8/3/2018,54.96,,,,,
8/6/2018,54.46,,,,,
8/7/2018,55.55,,,,,
8/8/2018,54.79,,,,,
8/9/2018,55.39,,,,,
8/10/2018,54.65,,,,,
8/13/2018,54.17,,,,,
8/14/2018,54.28,,,,,
8/15/2018,53.71,,,,,
8/16/2018,53.84,,,,,
8/17/2018,54.87,,,,,
8/20/2018,54.59,,,,,
8/21/2018,54.42,,,,,
8/22/2018,54.62,,,,,
8/23/2018,54.41,,,,,
8/24/2018,54.54,,,,,
8/27/2018,56.02,,,,,
8/28/2018,55.77,,,,,
8/29/2018,57.07,,,,,
8/30/2018,56.68,,,,,
8/31/2018,56.83,,,,,
9/4/2018,56.18,,,,,
9/5/2018,55.5,,,,,
9/6/2018,56.36,,,,,
9/7/2018,56.53,,,,,
