Date,Price
1/2/2018,51.02
1/3/2018,51.62
1/4/2018,51.08
1/5/2018,52.12
1/8/2018,52.02
1/9/2018,50.4
1/10/2018,48.84
1/11/2018,48.24
1/12/2018,48.2
1/15/2018,48.54
1/16/2018,50.0
1/17/2018,49.62
1/18/2018,49.9
1/19/2018,49.32
1/22/2018,48.24
1/23/2018,49.16
1/24/2018,49.34
1/25/2018,50.26
1/26/2018,50.78
1/29/2018,51.22
1/30/2018,49.8
1/31/2018,49.9
2/1/2018,49.82
2/2/2018,47.7
2/5/2018,47.92
2/6/2018,47.42
2/7/2018,45.8
2/8/2018,46.0
2/9/2018,44.7
2/12/2018,45.72
2/13/2018,47.54
2/14/2018,49.0
2/19/2018,48.38
2/20/2018,47.4
2/21/2018,47.28
2/22/2018,46.76
2/23/2018,47.22
2/26/2018,47.38
2/27/2018,47.38
2/28/2018,47.06
3/2/2018,46.02
3/5/2018,45.2
3/6/2018,47.02
3/7/2018,48.62
3/8/2018,49.2
3/9/2018,49.74
3/12/2018,49.74
3/13/2018,51.66
3/14/2018,51.76
3/15/2018,51.54
3/16/2018,51.14
3/19/2018,50.74
3/20/2018,51.2
3/21/2018,51.06
3/22/2018,51.78
3/23/2018,49.72
3/26/2018,50.28
3/27/2018,49.98
3/28/2018,48.7
3/29/2018,49.04
3/30/2018,49.22
4/2/2018,48.54
4/3/2018,48.12
4/4/2018,46.92
4/5/2018,48.74
4/6/2018,48.4
4/9/2018,49.2
4/10/2018,48.88
4/11/2018,48.86
4/12/2018,49.0
4/13/2018,49.8
4/16/2018,50.34
4/17/2018,49.98
4/18/2018,51.36
4/19/2018,52.78
4/20/2018,51.62
4/23/2018,51.9
4/24/2018,50.46
4/25/2018,50.4
4/26/2018,52.14
4/27/2018,53.0
5/4/2018,51.9
5/7/2018,51.9
5/8/2018,52.6
5/9/2018,50.9
5/10/2018,51.6
5/11/2018,51.3
5/14/2018,50.1
5/15/2018,49.2
5/16/2018,49.85
5/17/2018,49.4
5/18/2018,49.5
5/21/2018,50.0
5/22/2018,50.0
5/23/2018,51.8
5/24/2018,51.4
5/25/2018,52.7
5/27/2018,52.7
5/28/2018,52.3
5/29/2018,51.3
5/30/2018,49.5
5/31/2018,50.7
6/1/2018,51.3
6/3/2018,51.3
6/4/2018,51.1
6/5/2018,51.3
6/6/2018,51.3
6/7/2018,50.6
6/8/2018,49.65
6/10/2018,49.65
6/11/2018,49.9
6/12/2018,49.4
6/13/2018,49.4
6/14/2018,48.2
6/15/2018,47.65
6/17/2018,47.65
6/18/2018,46.6
6/19/2018,47.0
6/20/2018,47.0
6/21/2018,47.05
6/22/2018,47.25
6/24/2018,47.25
6/25/2018,46.65
6/26/2018,47.0
6/27/2018,47.95
6/28/2018,46.8
6/29/2018,46.65
7/2/2018,45.55
7/3/2018,46.15
7/4/2018,46.25
7/5/2018,45.95
7/6/2018,44.9
7/8/2018,44.9
