,Date,Price,Open,High,Low,Vol.,Change %
0,1/2/2018,51.02,51.38,51.4,50.78,8.46M,0.12%
1,1/3/2018,51.62,52.54,52.56,51.42,9.92M,1.18%
2,1/4/2018,51.08,52.12,52.18,50.64,11.64M,-1.05%
3,1/5/2018,52.12,51.3,52.12,51.2,9.33M,2.04%
4,1/8/2018,52.02,52.4,52.52,51.5,8.36M,-0.19%
5,1/9/2018,50.4,51.46,51.72,49.98,17.83M,-3.11%
6,1/10/2018,48.84,50.5,50.52,48.64,18.53M,-3.10%
7,1/11/2018,48.24,48.2,49.26,48.02,23.95M,-1.23%
8,1/12/2018,48.2,48.24,48.48,46.76,26.77M,-0.08%
9,1/15/2018,48.54,48.8,48.98,47.92,10.08M,0.71%
10,1/16/2018,50.0,48.76,50.14,48.62,13.20M,3.01%
11,1/17/2018,49.62,50.02,50.02,49.06,10.57M,-0.76%
12,1/18/2018,49.9,50.02,50.64,49.82,14.56M,0.56%
13,1/19/2018,49.32,50.38,50.38,49.04,9.04M,-1.16%
14,1/22/2018,48.24,48.64,48.68,47.96,12.31M,-2.19%
15,1/23/2018,49.16,48.66,49.16,48.3,12.86M,1.91%
16,1/24/2018,49.34,48.86,49.7,48.56,9.17M,0.37%
17,1/25/2018,50.26,49.22,50.36,49.16,10.99M,1.86%
18,1/26/2018,50.78,50.5,50.78,49.84,10.34M,1.03%
19,1/29/2018,51.22,51.2,51.48,50.9,11.64M,0.87%
20,1/30/2018,49.8,50.44,50.64,49.78,12.20M,-2.77%
21,1/31/2018,49.9,50.02,54.14,49.6,64.19M,0.20%
22,2/1/2018,49.82,50.62,50.96,49.72,25.79M,-0.16%
23,2/2/2018,47.7,49.38,49.4,47.7,27.89M,-4.26%
24,2/5/2018,47.92,46.5,48.32,46.0,25.87M,0.46%
25,2/6/2018,47.42,46.6,47.92,46.58,18.25M,-1.04%
26,2/7/2018,45.8,48.24,48.26,45.8,23.37M,-3.42%
27,2/8/2018,46.0,46.12,46.62,45.98,22.48M,0.44%
28,2/9/2018,44.7,44.44,45.18,44.42,17.40M,-2.83%
29,2/12/2018,45.72,45.1,46.32,45.04,15.55M,2.28%
30,2/13/2018,47.54,46.2,48.06,46.2,18.75M,3.98%
31,2/14/2018,49.0,48.08,49.1,47.94,16.88M,3.07%
32,2/19/2018,48.38,49.8,49.8,47.86,14.77M,-1.27%
33,2/20/2018,47.4,48.04,48.16,47.22,10.10M,-2.03%
34,2/21/2018,47.28,47.28,47.58,46.84,12.81M,-0.25%
35,2/22/2018,46.76,47.26,47.26,46.76,8.67M,-1.10%
36,2/23/2018,47.22,46.76,47.8,46.76,12.09M,0.98%
37,2/26/2018,47.38,47.28,47.56,47.08,8.20M,0.34%
38,2/27/2018,47.38,48.36,48.38,47.38,9.41M,0.00%
39,2/28/2018,47.06,47.38,48.1,47.0,14.97M,-0.68%
40,3/2/2018,46.02,46.58,46.8,46.0,13.11M,-2.21%
41,3/5/2018,45.2,45.82,46.16,45.08,13.27M,-1.78%
42,3/6/2018,47.02,45.92,47.1,45.82,15.12M,4.03%
43,3/7/2018,48.62,48.2,48.9,47.22,21.20M,3.40%
44,3/8/2018,49.2,49.2,49.48,48.08,19.43M,1.19%
45,3/9/2018,49.74,49.44,50.54,49.24,14.23M,1.10%
46,3/12/2018,49.74,50.56,50.78,49.58,8.64M,0.00%
47,3/13/2018,51.66,50.76,51.66,50.36,20.06M,3.86%
48,3/14/2018,51.76,51.02,52.0,51.0,12.51M,0.19%
49,3/15/2018,51.54,52.0,52.02,51.02,8.64M,-0.43%
50,3/16/2018,51.14,51.22,51.42,50.24,12.11M,-0.78%
51,3/19/2018,50.74,50.62,51.34,50.44,8.21M,-0.78%
52,3/20/2018,51.2,50.7,51.2,50.1,8.08M,0.91%
53,3/21/2018,51.06,51.78,51.78,51.06,8.33M,-0.27%
54,3/22/2018,51.78,51.06,51.78,51.04,8.28M,1.41%
55,3/23/2018,49.72,50.34,50.72,49.6,14.66M,-3.98%
56,3/26/2018,50.28,49.42,50.28,49.04,10.04M,1.13%
57,3/27/2018,49.98,50.32,50.46,49.08,11.84M,-0.60%
58,3/28/2018,48.7,49.1,49.1,48.34,15.06M,-2.56%
59,3/29/2018,49.04,48.7,49.56,48.32,9.69M,0.70%
60,3/30/2018,49.22,49.08,49.9,49.08,7.75M,0.37%
61,4/2/2018,48.54,49.0,49.22,48.5,7.10M,-1.38%
62,4/3/2018,48.12,47.88,48.14,47.28,12.69M,-0.87%
